record_id,category,publisher,feed_url,research_priority,publisher_type,scope,us_status,country_source,publication_country_verified,traffic_status,traffic_evidence,traffic_source,live_feed_status,feed_evidence,source_url,image_availability,image_permission,headline_permission,terms_url,notes,moderation_note,source_research_date,all_criteria_verified,production_enabled,image_display_enabled,http_status,last_feed_item_date,image_items_sampled
WM-0001,Sports,CBS Sports,https://www.cbssports.com/rss/headlines/,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0002,Sports,ESPN,https://www.espn.com/espn/rss/news,Review first,Publication,Publisher feed; topic filtering may be needed,U.S. HQ listed by Similarweb,https://www.similarweb.com/website/espn.com/,False,Estimated domain ranks documented; visit volume not verified,Aug 2026 | Global #86 | US #22 | US Sports - Other #1,https://www.similarweb.com/website/espn.com/,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,"Traffic is whole-domain, not category/RSS readership.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0003,Sports,FanSided,https://fansided.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0004,Sports,GOLF.com,https://golf.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_news_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0005,Sports,Los Angeles Times,https://www.latimes.com/sports.rss,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://themeisle.com/blog/rss-feeds-list/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0006,Sports,MLB Trade Rumors,https://www.mlbtraderumors.com/feed,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0007,Sports,Motorsport.com,https://www.motorsport.com/rss/google,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_news_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0008,Sports,NBC Sports,https://www.nbcsports.com/index.atom,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0009,Sports,SB Nation,https://www.sbnation.com/rss/index.xml,Review first,Publication,Publisher feed; topic filtering may be needed,U.S.-oriented candidate; headquarters not independently verified,,False,Not substantiated,,,Not live-validated,Directory-listed URL; not live-validated,https://rss.feedspot.com/sports_rss_feeds/,Not inspected,Not cleared,Not cleared,,,Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
WM-0010,Sports,The New York Times,https://rss.nytimes.com/services/xml/rss/nyt/Sports.xml,Review first,Publication,Topic-specific feed,U.S. location listed; publisher confirmation pending,https://www.similarweb.com/website/nytimes.com/,False,Estimated domain ranks documented; visit volume not verified,Aug 2026 | Global #71 | US #23 | US News & Media Publishers #2,https://www.similarweb.com/website/nytimes.com/,Not live-validated,Public feed registry; not live-validated,https://huggingface.co/spaces/Nymbo/news-rss-aggregator/blob/9bb3b94f50603df6fd4071fe949b39fbc93991f6/feeds_sorted.json,Not inspected,Not cleared,Not cleared,,"Traffic is whole-domain, not category/RSS readership.",Check article and thumbnail against Wingman policy before display.,2026-09-13,False,False,False,,,0
